Магазин,Категория,Бренд,Модель,Цвет,RAM,ROM,Ссылка на изображение,Ссылка,Дата и время,Текущая цена,Средняя цена,Историческая мин. цена,Исторический мин. магазин,Исторический мин. дата,Разница цены от средней
1,смартфоны,nokia,5.3,cyan,3,64,https://img.mvideo.ru/pdb/small_pic/480/30050546b.jpg,https://www.mvideo.ru/products/smartfon-nokia-53-364gb-cyan-ta-1234-30050546,05-12-2020 21:57:59,11990,13490,14990,1,2020-12-05 21:56:56.494445,1500
1,смартфоны,nokia,5.3,charcoal,3,64,https://img.mvideo.ru/pdb/small_pic/480/30050546b.jpg,https://www.mvideo.ru/products/smartfon-nokia-53-364gb-charcoal-ta-1234-30050274,05-12-2020 21:57:59,11990,13490,14990,1,2020-12-05 21:56:56.494445,1500
3,смартфоны,oppo,a31,белый,4,64,https://img.mvideo.ru/pdb/small_pic/480/30048333b.jpg,https://www.dns-shop.ru/product/761ae482628f3332/65-smartfon-oppo-a31-64-gb-belyj/,05-12-2020 21:57:59,10449,11065,10449,3,2020-12-05 21:57:59.596887,616
3,смартфоны,oppo,a31,зеленый,4,64,https://img.mvideo.ru/pdb/small_pic/480/30048333b.jpg,https://www.dns-shop.ru/product/a8f3ed46628f3332/65-smartfon-oppo-a31-64-gb-zelenyj/,05-12-2020 21:57:59,10449,11065,10449,3,2020-12-05 21:57:59.596887,616
3,смартфоны,oppo,a31,черный,4,64,https://img.mvideo.ru/pdb/small_pic/480/30048333b.jpg,https://www.dns-shop.ru/product/3c9139ac628f3332/65-smartfon-oppo-a31-64-gb-cernyj/,05-12-2020 21:57:59,10449,11065,10449,3,2020-12-05 21:57:59.596887,616
3,смартфоны,oppo,a5,белый,3,64,https://img.mvideo.ru/pdb/small_pic/480/30045964b.jpg,https://www.dns-shop.ru/product/a7756b6e27983332/65-smartfon-oppo-a5-2020-64-gb-belyj/,05-12-2020 21:57:59,11399,12353,10669,3,2020-12-05 21:56:57.117757,954
3,смартфоны,oppo,a5,черный,3,64,https://img.mvideo.ru/pdb/small_pic/480/30045964b.jpg,https://www.dns-shop.ru/product/542ee61427983332/65-smartfon-oppo-a5-2020-64-gb-cernyj/,05-12-2020 21:57:59,11399,12353,10669,3,2020-12-05 21:56:57.117757,954
3,смартфоны,xiaomi,redmi note 9,белый,3,64,https://img.mvideo.ru/pdb/small_pic/480/30050052b.jpg,https://www.dns-shop.ru/product/6a8d3b3689cc3332/65-smartfon-xiaomi-redmi-note-9-64-gb-belyj/,05-12-2020 21:57:59,12999,14105,12999,3,2020-12-05 21:57:59.636219,1106
3,смартфоны,xiaomi,redmi note 9,зеленый,3,64,https://img.mvideo.ru/pdb/small_pic/480/30050052b.jpg,https://www.dns-shop.ru/product/d9eefe2789c93332/65-smartfon-xiaomi-redmi-note-9-64-gb-zelenyj/,05-12-2020 21:57:59,12999,14105,12999,3,2020-12-05 21:57:59.636219,1106
3,смартфоны,xiaomi,redmi note 9,серый,3,64,https://img.mvideo.ru/pdb/small_pic/480/30050052b.jpg,https://www.dns-shop.ru/product/e820a6f289c93332/65-smartfon-xiaomi-redmi-note-9-64-gb-seryj/,05-12-2020 21:57:59,12999,14105,12999,3,2020-12-05 21:57:59.636219,1106
3,смартфоны,xiaomi,redmi note 9,черный,3,64,https://img.mvideo.ru/pdb/small_pic/480/30050052b.jpg,https://www.dns-shop.ru/product/9338c2afe0ed1b80/65-smartfon-xiaomi-redmi-note-9-64-gb-cernyj/,05-12-2020 21:57:59,12999,14105,12999,3,2020-12-05 21:57:59.636219,1106
3,смартфоны,xiaomi,redmi note 9,белый,4,128,https://img.mvideo.ru/pdb/small_pic/480/30050052b.jpg,https://www.dns-shop.ru/product/ce435b7489cc3332/65-smartfon-xiaomi-redmi-note-9-128-gb-belyj/,05-12-2020 21:58:00,14999,15994,14999,3,2020-12-05 21:57:59.668475,995
3,смартфоны,xiaomi,redmi note 9,зеленый,4,128,https://img.mvideo.ru/pdb/small_pic/480/30050052b.jpg,https://www.dns-shop.ru/product/a5771a0789cc3332/65-smartfon-xiaomi-redmi-note-9-128-gb-zelenyj/,05-12-2020 21:58:00,14999,15994,14999,3,2020-12-05 21:57:59.668475,995
3,смартфоны,xiaomi,redmi note 9,серый,4,128,https://img.mvideo.ru/pdb/small_pic/480/30050052b.jpg,https://www.dns-shop.ru/product/b0b6894889cc3332/65-smartfon-xiaomi-redmi-note-9-128-gb-seryj/,05-12-2020 21:58:00,14999,15994,14999,3,2020-12-05 21:57:59.668475,995
3,смартфоны,xiaomi,redmi note 9,черный,4,128,https://img.mvideo.ru/pdb/small_pic/480/30050052b.jpg,https://www.dns-shop.ru/product/e4cfdf42e0ed1b80/65-smartfon-xiaomi-redmi-note-9-128-gb-cernyj/,05-12-2020 21:58:00,14999,15994,14999,3,2020-12-05 21:57:59.668475,995
5,смартфоны,honor,30i,silver/pink,4,128,https://img.mvideo.ru/pdb/small_pic/480/30051459b.jpg,https://www.shop.mts.ru/product/smartfon-honor-30i-4-128gb-silver-pink,05-12-2020 21:58:00,13990,14851,13519,3,2020-12-05 21:56:57.190173,861
3,смартфоны,xiaomi,redmi note 8 pro,белый,6,128,https://img.mvideo.ru/pdb/small_pic/480/30046135b.jpg,https://www.dns-shop.ru/product/623bc19fd3943332/653-smartfon-xiaomi-redmi-note-8-pro-128-gb-belyj/,05-12-2020 21:58:00,16999,17995,16999,3,2020-12-05 21:57:59.702585,996
3,смартфоны,xiaomi,redmi note 8 pro,зеленый,6,128,https://img.mvideo.ru/pdb/small_pic/480/30046135b.jpg,https://www.dns-shop.ru/product/4aed36f4d3943332/653-smartfon-xiaomi-redmi-note-8-pro-128-gb-zelenyj/,05-12-2020 21:58:00,16999,17995,16999,3,2020-12-05 21:57:59.702585,996
3,смартфоны,xiaomi,redmi note 8 pro,оранжевый,6,128,https://img.mvideo.ru/pdb/small_pic/480/30046135b.jpg,https://www.dns-shop.ru/product/68c8e736e0ee1b80/653-smartfon-xiaomi-redmi-note-8-pro-128-gb-oranzevyj/,05-12-2020 21:58:00,16999,17995,16999,3,2020-12-05 21:57:59.702585,996
3,смартфоны,xiaomi,redmi note 8 pro,серый,6,128,https://img.mvideo.ru/pdb/small_pic/480/30046135b.jpg,https://www.dns-shop.ru/product/2b45326ad3943332/653-smartfon-xiaomi-redmi-note-8-pro-128-gb-seryj/,05-12-2020 21:58:00,16999,17995,16999,3,2020-12-05 21:57:59.702585,996
3,смартфоны,xiaomi,redmi note 8 pro,синий,6,128,https://img.mvideo.ru/pdb/small_pic/480/30046135b.jpg,https://www.dns-shop.ru/product/9ad91632dffb1b80/653-smartfon-xiaomi-redmi-note-8-pro-128-gb-sinij/,05-12-2020 21:58:00,16999,17995,16999,3,2020-12-05 21:57:59.702585,996
5,смартфоны,apple,iphone 7,black,0,32,https://img.mvideo.ru/pdb/small_pic/480/30026135b.jpg,https://www.shop.mts.ru/product/smartfon-apple-iphone-7-32gb-black-mn8x2ru-a,05-12-2020 21:58:00,24990,26744,24990,5,2020-12-05 21:56:56.765286,1754
1,смартфоны,huawei,p30 pro,aurora,8,256,https://img.mvideo.ru/pdb/small_pic/480/30043038b.jpg,https://www.mvideo.ru/products/smartfon-huawei-p30-pro-aurora-vog-l29-30043038,05-12-2020 21:58:00,44490,48423,44490,1,2020-12-05 21:57:59.182371,3933
1,смартфоны,huawei,p30 pro,breathing crystal,8,256,https://img.mvideo.ru/pdb/small_pic/480/30043038b.jpg,https://www.mvideo.ru/products/smartfon-huawei-p30-pro-breathing-crystal-vog-l29-30043039,05-12-2020 21:58:00,44490,48423,44490,1,2020-12-05 21:57:59.182371,3933
3,смартфоны,samsung,galaxy s20 fe,розовый,8,256,https://img.mvideo.ru/pdb/small_pic/480/30053164b.jpg,https://www.dns-shop.ru/product/d18e4e9909f73332/65-smartfon-samsung-galaxy-s20-fe-256-gb-rozovyj/,05-12-2020 21:58:00,48699,52344,48699,3,2020-12-05 21:57:59.837395,3645
3,смартфоны,samsung,galaxy s20 fe,синий,8,256,https://img.mvideo.ru/pdb/small_pic/480/30053164b.jpg,https://www.dns-shop.ru/product/e3f2096a09f63332/65-smartfon-samsung-galaxy-s20-fe-256-gb-sinij/,05-12-2020 21:58:00,48699,52344,48699,3,2020-12-05 21:57:59.837395,3645
3,смартфоны,huawei,p40 pro,серебристый,8,256,https://img.mvideo.ru/pdb/small_pic/480/30048587b.jpg,https://www.dns-shop.ru/product/d716dc1d67773332/658-smartfon-huawei-p40-pro-256-gb-serebristyj/,05-12-2020 21:58:00,56999,60994,56499,3,2020-12-05 21:56:57.412226,3995
3,смартфоны,huawei,p40 pro,синий,8,256,https://img.mvideo.ru/pdb/small_pic/480/30048587b.jpg,https://www.dns-shop.ru/product/4e87cdc170333332/658-smartfon-huawei-p40-pro-256-gb-sinij/,05-12-2020 21:58:00,56999,60994,56499,3,2020-12-05 21:56:57.412226,3995
3,смартфоны,huawei,p40 pro,черный,8,256,https://img.mvideo.ru/pdb/small_pic/480/30048587b.jpg,https://www.dns-shop.ru/product/ecbf69a067773332/658-smartfon-huawei-p40-pro-256-gb-cernyj/,05-12-2020 21:58:00,56999,60994,56499,3,2020-12-05 21:56:57.412226,3995
5,смартфоны,honor,30 premium,midnight black,8,256,https://img.mvideo.ru/pdb/small_pic/480/30049877b.jpg,https://www.shop.mts.ru/product/smartfon-honor-30-premium-8-256gb-midnight-black,05-12-2020 21:58:00,30990,34993,30990,5,2020-12-05 21:57:59.298490,4003
