Магазин,Категория,Бренд,Модель,Цвет,RAM,ROM,Ссылка на изображение,Ссылка,Дата и время,Текущая цена,Средняя цена,Историческая мин. цена,Исторический мин. магазин,Исторический мин. дата,Разница цены от средней
3,смартфоны,realme,6i,зеленый,4,128,https://mtscdn.ru/upload/iblock/9e5/smartfon_realme_6i_4_128gb_white_1.jpg/resize/260x260/,https://www.dns-shop.ru/product/b5cb85606e3b1b80/65-smartfon-realme-6i-128-gb-zelenyj/,20-12-2020 21:42:03,11390,13126,11390,3,2020-12-20 21:42:03.869010,1736
3,смартфоны,realme,c3,красный,3,64,https://img.mvideo.ru/pdb/small_pic/480/30048601b.jpg,https://www.dns-shop.ru/product/96e2c63b5d003332/652-smartfon-realme-c3-64-gb-krasnyj/,20-12-2020 21:42:03,6990,8491,6990,1,2020-12-20 21:42:03.876405,1501
3,смартфоны,realme,c3,синий,3,64,https://img.mvideo.ru/pdb/small_pic/480/30048601b.jpg,https://www.dns-shop.ru/product/848e429c5d003332/652-smartfon-realme-c3-64-gb-sinij/,20-12-2020 21:42:03,6990,8491,6990,1,2020-12-20 21:42:03.876405,1501
5,смартфоны,realme,c3,grey,3,64,https://img.mvideo.ru/pdb/small_pic/480/30048601b.jpg,https://www.shop.mts.ru/product/smartfon-realme-c3-3-64gb-grey,20-12-2020 21:42:03,6990,8491,6990,1,2020-12-20 21:42:03.876405,1501
1,смартфоны,realme,c3,frozen blue,3,64,https://img.mvideo.ru/pdb/small_pic/480/30048601b.jpg,https://www.mvideo.ru/products/smartfon-realme-c3-364gb-nfc-frozen-blue-rmx2020-30048601,20-12-2020 21:42:03,6990,8491,6990,1,2020-12-20 21:42:03.876405,1501
1,смартфоны,oppo,a53,fancy blue,4,64,https://img.mvideo.ru/pdb/small_pic/480/30053595b.jpg,https://www.mvideo.ru/products/smartfon-oppo-a53-464gb-fancy-blue-cph2127-30053595,20-12-2020 21:42:03,8990,11825,8990,1,2020-12-20 21:42:03.882605,2835
1,смартфоны,oppo,a53,electric black,4,64,https://img.mvideo.ru/pdb/small_pic/480/30053595b.jpg,https://www.mvideo.ru/products/smartfon-oppo-a53-464gb-electric-black-cph2127-30053593,20-12-2020 21:42:03,8990,11825,8990,1,2020-12-20 21:42:03.882605,2835
5,смартфоны,nokia,5.3,black,4,64,https://img.mvideo.ru/pdb/small_pic/480/30050275b.jpg,https://www.shop.mts.ru/product/smartfon-nokia-5-3-4-64gb-black,20-12-2020 21:42:03,9490,12779,9490,5,2020-12-20 21:42:03.888319,3289
5,смартфоны,nokia,5.3,turquoise,4,64,https://img.mvideo.ru/pdb/small_pic/480/30050275b.jpg,https://www.shop.mts.ru/product/smartfon-nokia-5-3-4-64gb-turquoise,20-12-2020 21:42:03,9490,12779,9490,5,2020-12-20 21:42:03.888319,3289
5,смартфоны,realme,6,comet blue,8,128,https://img.mvideo.ru/pdb/small_pic/480/30048607b.jpg,https://www.shop.mts.ru/product/smartfon-realme-6-8-128gb-comet-blue,20-12-2020 21:42:03,10990,16326,10990,5,2020-12-20 21:42:03.897183,5336
5,смартфоны,realme,6,comet white,8,128,https://img.mvideo.ru/pdb/small_pic/480/30048607b.jpg,https://www.shop.mts.ru/product/smartfon-realme-6-8-128gb-comet-white,20-12-2020 21:42:03,10990,16326,10990,5,2020-12-20 21:42:03.897183,5336
1,смартфоны,xiaomi,mi 10t,black,8,128,https://img.mvideo.ru/pdb/small_pic/480/30054229b.jpg,https://www.mvideo.ru/products/smartfon-xiaomi-mi-10t-8128gb-black-30054229,20-12-2020 21:42:03,5990,37159,5990,1,2020-12-20 21:42:03.924429,31169
3,смартфоны,apple,iphone 12 mini,белый,4,64,https://img.mvideo.ru/pdb/small_pic/480/30052873b.jpg,https://www.dns-shop.ru/product/3087122e0da23332/54-smartfon-apple-iphone-12-mini-64-gb-belyj/,20-12-2020 21:42:03,50490,62462,50490,1,2020-12-20 21:42:03.931526,11972
3,смартфоны,apple,iphone 12 mini,зеленый,4,64,https://img.mvideo.ru/pdb/small_pic/480/30052873b.jpg,https://www.dns-shop.ru/product/4a3e33560da23332/54-smartfon-apple-iphone-12-mini-64-gb-zelenyj/,20-12-2020 21:42:03,50490,62462,50490,1,2020-12-20 21:42:03.931526,11972
1,смартфоны,apple,iphone 12 mini,white,4,64,https://img.mvideo.ru/pdb/small_pic/480/30052873b.jpg,https://www.mvideo.ru/products/smartfon-apple-iphone-12-mini-64gb-white-mgdy3ru-a-30052871,20-12-2020 21:42:03,50490,62462,50490,1,2020-12-20 21:42:03.931526,11972
5,смартфоны,apple,iphone 12 mini,синий,0,128,https://img.mvideo.ru/pdb/small_pic/480/30052873b.jpg,https://www.shop.mts.ru/product/smartfon-apple-iphone-12-mini-128gb-sinij,20-12-2020 21:42:03,50490,70039,50490,5,2020-12-20 21:42:03.929520,19549
3,смартфоны,sony,xperia 5 ii,синий,8,128,https://c.dns-shop.ru/thumb/st1/fit/200/200/7d28727a0aedf945c15bf258f931eba3/ccd38d359ce2909f1e59438ddc1530d70d606403d1d757cee9c9113617593346.jpg,https://www.dns-shop.ru/product/33514c1efc6d1b80/61-smartfon-sony-xperia-5-ii-128-gb-sinij/,20-12-2020 21:42:03,49999,59994,49999,3,2020-12-20 21:42:03.933952,9995
3,смартфоны,sony,xperia 5 ii,черный,8,128,https://c.dns-shop.ru/thumb/st1/fit/200/200/7d28727a0aedf945c15bf258f931eba3/ccd38d359ce2909f1e59438ddc1530d70d606403d1d757cee9c9113617593346.jpg,https://www.dns-shop.ru/product/f898fac3fc6c1b80/61-smartfon-sony-xperia-5-ii-128-gb-cernyj/,20-12-2020 21:42:03,49999,59994,49999,3,2020-12-20 21:42:03.933952,9995
1,смартфоны,sony,xperia 5 ii,black,8,128,https://img.mvideo.ru/pdb/small_pic/480/30053769b.jpg,https://www.mvideo.ru/products/smartfon-sony-xperia5ii-black-xq-as52-30053769,20-12-2020 21:42:03,49990,59990,69990,1,2020-12-20 21:41:49.658260,10000
1,смартфоны,sony,xperia 5 ii,blue,8,128,https://img.mvideo.ru/pdb/small_pic/480/30053769b.jpg,https://www.mvideo.ru/products/smartfon-sony-xperia5ii-blue-xq-as52-30053770,20-12-2020 21:42:03,49990,59990,69990,1,2020-12-20 21:41:49.658260,10000
