ћагазин, атегори€,Ѕренд,ћодель,÷вет,RAM,ROM,÷ена,—сылка на изображение,—сылка,–ейтинг, ол-во отзывов, од продукта
мтс,смартфоны,apple,iphone 12,чЄрный,0,128,84990,https://mtscdn.ru/upload/iblock/730/ruru_iphone12_q121_black_pdp_image_1b.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-apple-iphone-12-128gb-chjernyj,5.0,5,none
мтс,смартфоны,samsung,galaxy a21s,black,3,32,16490,https://mtscdn.ru/upload/iblock/134/smartfon_samsung_a217_galaxy_a21s_4_64gb_black.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-samsung-a217-galaxy-a21s-3-32gb-black,5.0,5,none
мтс,смартфоны,apple,iphone 12 mini,синий,0,128,74990,https://mtscdn.ru/upload/iblock/335/1000_ruru_iphone12mini_q121_blue_pdp_image_1b.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-apple-iphone-12-mini-128gb-sinij,4.1,4,none
мтс,смартфоны,samsung,galaxy a51,black,6,128,24990,https://mtscdn.ru/upload/iblock/f9f/smartfon_samsung_a515_galaxy_a51_4_64gb_black.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-samsung-a515-galaxy-a51-6-128gb-black,3.9,3,none
мтс,смартфоны,xiaomi,mi 10t,cosmic black,8,128,44990,https://mtscdn.ru/upload/iblock/459/11.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-xiaomi-mi-10t-8-128gb-cosmic-black,0,0,none
мтс,смартфоны,xiaomi,redmi note 9,midnight grey,4,128,16990,https://mtscdn.ru/upload/iblock/63b/smartfon_xiaomi_redmi_note_9_3_64gb_midnight_grey_1.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-xiaomi-redmi-note-9-4-128gb-midnight-grey,5.0,5,none
мтс,смартфоны,apple,iphone 11 pro,тЄмно-зелЄный,0,64,79890,https://mtscdn.ru/upload/iblock/25e/smartfon_apple_iphone_11_pro_64gb_tjemno_zeljenyj_1.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-apple-iphone-11-pro-64gb-tjemno-zeljenyj,4.6,4,none
мтс,смартфоны,samsung,galaxy a31,black,4,128,20490,https://mtscdn.ru/upload/iblock/c65/smartfon_samsung_a315_galaxy_a31_4_128gb_black.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-samsung-a315-galaxy-a31-4-128gb-black,5.0,5,none
мтс,смартфоны,huawei,p30 lite,black,6,256,19990,https://mtscdn.ru/upload/iblock/5ce/smartfon_huawei_p30_lite_6_256gb_black.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-huawei-p30-lite-6-256gb-black,4.9,4,none
мтс,смартфоны,huawei,p30 pro,breathing crystal,8,256,44990,https://mtscdn.ru/upload/iblock/905/smartfon_huawei_p30_pro_8_256gb_breathing_crystal.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-huawei-p30-pro-8-256gb-breathing-crystal,4.7,4,none
