Ìאדאחטם,Êאעודמנטÿ,Áנוםה,Ìמהוכü,Öגוע,RAM,ROM,Öוםא,Ñסûכךא םא טחמבנאזוםטו,Ñסûכךא,Ðויעטםד,Êמכ-גמ מעחûגמג,Êמה ןנמהףךעא
לגטהומ,סלאנעפמםû,digma,hit q401 3g,black,1,8,1890,//img.mvideo.ru/pdb/small_pic/480/30041951b.jpg,https://www.mvideo.ru/products/smartfon-digma-hit-q401-3g-8gb-black-ht4039pg-30041951,4.2,6,30041951
לגטהומ,סלאנעפמםû,vertex,impress luck 3g,gold,1,8,2990,//img.mvideo.ru/pdb/small_pic/480/30029860b.jpg,https://www.mvideo.ru/products/smartfon-vertex-impress-luck-3g-gold-30029860,4.1,10,30029860
לגטהומ,סלאנעפמםû,vertex,impress luck 3g,black,1,8,2990,//img.mvideo.ru/pdb/small_pic/480/30029861b.jpg,https://www.mvideo.ru/products/smartfon-vertex-impress-luck-3g-black-30029861,0.0,0,30029861
לגטהומ,סלאנעפמםû,zte,blade l130,black,0,8,2990,//img.mvideo.ru/pdb/small_pic/480/30043705b.jpg,https://www.mvideo.ru/products/smartfon-zte-blade-l130-black-30043705,5.0,1,30043705
לגטהומ,סלאנעפמםû,zte,blade l130,blue,0,8,2990,//img.mvideo.ru/pdb/small_pic/480/30044612b.jpg,https://www.mvideo.ru/products/smartfon-zte-blade-l130-blue-30044612,0.0,0,30044612
לגטהומ,סלאנעפמםû,samsung,galaxy a01,core black,1,16,5990,//img.mvideo.ru/pdb/small_pic/480/30051365b.jpg,https://www.mvideo.ru/products/smartfon-samsung-galaxy-a01-core-black-sm-a013f-ds-30051365,5.0,4,30051365
לגטהומ,סלאנעפמםû,samsung,galaxy a01,core red,1,16,5990,//img.mvideo.ru/pdb/small_pic/480/30051366b.jpg,https://www.mvideo.ru/products/smartfon-samsung-galaxy-a01-core-red-sm-a013f-ds-30051366,4.3,3,30051366
לגטהומ,סלאנעפמםû,nokia,1.3,charcoal,1,16,5990,//img.mvideo.ru/pdb/small_pic/480/30050271b.jpg,https://www.mvideo.ru/products/smartfon-nokia-13-16gb-charcoal-ta-1205-30050271,5.0,1,30050271
לגטהומ,סלאנעפמםû,huawei,y5 lite,amber brown,1,16,5990,//img.mvideo.ru/pdb/small_pic/480/30044264b.jpg,https://www.mvideo.ru/products/smartfon-huawei-y5-lite-amber-brown-dra-lx5-30044264,4.0,13,30044264
לגטהומ,סלאנעפמםû,samsung,galaxy a01,core blue,1,16,5990,//img.mvideo.ru/pdb/small_pic/480/30051379b.jpg,https://www.mvideo.ru/products/smartfon-samsung-galaxy-a01-core-blue-sm-a013f-ds-30051379,3.5,2,30051379
