Message_ID,Category,Brand,Model,RAM,ROM,Cur_Price,Avg_Price,Img_URL,Where_Buy_List,Hist_Min_Price,Hist_Min_Shop,Hist_Min_Date,Post_Datetime,Text_Hash,Actual
607,смартфоны,realme,6i,4,128,11390,13126.0,https://mtscdn.ru/upload/iblock/9e5/smartfon_realme_6i_4_128gb_white_1.jpg/resize/260x260/,"[(3, 'зеленый', 'https://www.dns-shop.ru/product/b5cb85606e3b1b80/65-smartfon-realme-6i-128-gb-zelenyj/')]",11390,3,2021-01-06 00:01:03.985662,2021-01-06 00:01:04.977647,fcd050807d1d418227d8ee5dfd27f0fedc4453cb4ebc5a080ac4a210c46126e7,True
608,смартфоны,realme,c3,3,64,6990,8277.0,https://img.mvideo.ru/pdb/small_pic/480/30048601b.jpg,"[(3, 'красный', 'https://www.dns-shop.ru/product/96e2c63b5d003332/652-smartfon-realme-c3-64-gb-krasnyj/'), (3, 'синий', 'https://www.dns-shop.ru/product/848e429c5d003332/652-smartfon-realme-c3-64-gb-sinij/'), (5, 'grey', 'https://www.shop.mts.ru/product/smartfon-realme-c3-3-64gb-grey'), (1, 'frozen blue', 'https://www.mvideo.ru/products/smartfon-realme-c3-364gb-nfc-frozen-blue-rmx2020-30048601')]",6990,1,2021-01-06 00:01:03.990801,2021-01-06 00:01:05.252638,be6c29889944a9148753a43c45e68bae1c14300370c66ef54326324554d17759,True
609,смартфоны,oppo,a53,4,64,8990,11492.0,https://img.mvideo.ru/pdb/small_pic/480/30053595b.jpg,"[(1, 'fancy blue', 'https://www.mvideo.ru/products/smartfon-oppo-a53-464gb-fancy-blue-cph2127-30053595'), (1, 'electric black', 'https://www.mvideo.ru/products/smartfon-oppo-a53-464gb-electric-black-cph2127-30053593')]",8990,1,2021-01-06 00:01:03.996013,2021-01-06 00:01:05.528645,4ac9067f8d0b7b1cad049f83166180f27a4df68db32baf0220e887f44c15e157,True
610,смартфоны,nokia,5.3,4,64,9490,12779.0,https://img.mvideo.ru/pdb/small_pic/480/30050275b.jpg,"[(5, 'black', 'https://www.shop.mts.ru/product/smartfon-nokia-5-3-4-64gb-black'), (5, 'turquoise', 'https://www.shop.mts.ru/product/smartfon-nokia-5-3-4-64gb-turquoise')]",9490,5,2021-01-06 00:01:03.999940,2021-01-06 00:01:05.810665,4e1cabd8f3a99517176830d7cbf6aac6521d294fbe87974647dbf370c7407660,True
611,смартфоны,realme,6,8,128,10990,16326.0,https://img.mvideo.ru/pdb/small_pic/480/30048607b.jpg,"[(5, 'comet blue', 'https://www.shop.mts.ru/product/smartfon-realme-6-8-128gb-comet-blue'), (5, 'comet white', 'https://www.shop.mts.ru/product/smartfon-realme-6-8-128gb-comet-white')]",10990,5,2021-01-06 00:01:04.005299,2021-01-06 00:01:06.095997,848160b8912025bd82d917ab2f41b8d0aacdf48c66bf99f9fd50444f6d9f2db8,True
612,смартфоны,xiaomi,redmi note 8 pro,6,64,12399,17577.0,https://img.mvideo.ru/pdb/small_pic/480/30046135b.jpg,"[(3, 'белый', 'https://www.dns-shop.ru/product/fa15db2bd3933332/653-smartfon-xiaomi-redmi-note-8-pro-64-gb-belyj/'), (3, 'оранжевый', 'https://www.dns-shop.ru/product/695ca4f2dae63332/653-smartfon-xiaomi-redmi-note-8-pro-64-gb-oranzevyj/')]",12399,3,2021-01-06 00:01:04.008709,2021-01-06 00:01:10.055635,15aed0d09dfe7fc2fdee11872184a7ccf33f7bcd6a43f7363b7479936ab42120,False
613,смартфоны,xiaomi,mi 10t,8,128,5990,23490.0,https://img.mvideo.ru/pdb/small_pic/480/30054229b.jpg,"[(1, 'black', 'https://www.mvideo.ru/products/smartfon-xiaomi-mi-10t-8128gb-black-30054229')]",40990,1,2021-01-06 00:00:58.214150,2021-01-06 00:01:10.375635,e557e20b54785990c523f44457ef0fe0ebce9e2f12f763b0d461b1b9ffaac953,True
614,смартфоны,apple,iphone 12 mini,4,64,50490,61626.0,https://img.mvideo.ru/pdb/small_pic/480/30052873b.jpg,"[(3, 'белый', 'https://www.dns-shop.ru/product/3087122e0da23332/54-smartfon-apple-iphone-12-mini-64-gb-belyj/'), (3, 'зеленый', 'https://www.dns-shop.ru/product/4a3e33560da23332/54-smartfon-apple-iphone-12-mini-64-gb-zelenyj/'), (1, 'white', 'https://www.mvideo.ru/products/smartfon-apple-iphone-12-mini-64gb-white-mgdy3ru-a-30052871')]",50490,1,2021-01-06 00:01:04.032823,2021-01-06 00:01:10.903257,e5a9a3a81ceab1393535d02c3b527f6b8b9631b1ae2c166e913d8493a9772da6,True
615,смартфоны,apple,iphone 12 mini,0,128,50490,62740.0,https://img.mvideo.ru/pdb/small_pic/480/30052873b.jpg,"[(5, 'синий', 'https://www.shop.mts.ru/product/smartfon-apple-iphone-12-mini-128gb-sinij')]",74990,5,2021-01-06 00:00:58.219134,2021-01-06 00:01:11.282441,500e117e3806db9eafe0f1c7e1a410b6f34cb5809a55bdd52d77b9a5558ddd7d,True
616,смартфоны,oppo,a53,4,64,8890,11478.0,https://img.mvideo.ru/pdb/small_pic/480/30053595b.jpg,"[(1, 'fancy blue', 'https://www.mvideo.ru/products/smartfon-oppo-a53-464gb-fancy-blue-cph2127-30053595')]",8890,1,2021-01-06 00:02:04.984471,2021-01-06 00:02:31.992637,84d91526439fa313e04d7f17fc4c850a67b05f24c64de674a8dd5d615e95c49e,False
